cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2023-10,2023,10,historical_mean_3y,30,0.6994266994266993,9.488888888888887,16.2311999510773,407.0,195.00000000000003
2023-10,2023,10,xgboost_poisson_flat,30,0.6896409421096565,9.356128781287675,16.489229481068612,407.0,229.25717272277518
2023-10,2023,10,xgboost_poisson_municipal,30,0.6984765156486824,9.475998062300457,16.742828496304003,407.0,216.28062951076163
2023-10,2023,10,glm_poisson,30,0.8619246012920597,11.693443757528943,20.646253552135942,407.0,171.14671902866883
2023-10,2023,10,tweedie_p1.5,30,0.8586468867904041,11.648976097456483,20.771335881806284,407.0,162.2574783874148
2023-10,2023,10,random_forest_100,30,0.7534737932292418,10.222127794810046,17.9393405864575,407.0,177.8519554477742
2023-11,2023,11,naive_lag12,30,0.4629080118694362,5.2,7.681145747868608,337.0,229.0
2023-11,2023,11,climatology_municipal,30,0.3444137194676924,3.8689141153537445,6.27871821879193,337.0,327.9118679050568
2023-11,2023,11,climatology_state,30,0.8326228742713403,9.353130287648055,14.882179015026873,337.0,320.5583756345179
2023-11,2023,11,historical_mean_3y,30,0.3936696340257171,4.422222222222222,7.090421290309488,337.0,232.33333333333331
2023-11,2023,11,xgboost_poisson_flat,30,0.3460186326865946,3.886942640512746,5.358261749276953,337.0,282.9452792508247
2023-11,2023,11,xgboost_poisson_municipal,30,0.3531193663079724,3.96670754819289,5.696093621286406,337.0,281.97572896634153
2023-11,2023,11,glm_poisson,30,0.5582136163717561,6.270599623909394,9.97308480517287,337.0,240.9037019851478
2023-11,2023,11,tweedie_p1.5,30,0.48188668129350826,5.4131937198637425,7.725881709876685,337.0,296.7777631176267
2023-11,2023,11,random_forest_100,30,0.5077155115728745,5.703337580001957,10.072563851022398,337.0,205.06255377457023
2023-12,2023,12,naive_lag12,30,0.4565916398713826,4.733333333333333,7.741662181555931,311.0,213.0
2023-12,2023,12,climatology_municipal,30,0.355262549539475,3.682888430225891,5.084985225133084,311.0,274.76102511179914
2023-12,2023,12,climatology_state,30,0.9460068225961774,9.806937394247038,14.271815823868543,311.0,268.0203045685279
2023-12,2023,12,historical_mean_3y,30,0.5798499464094319,6.01111111111111,9.762171889492624,311.0,166.0
2023-12,2023,12,xgboost_poisson_flat,30,0.46215768346858943,4.791034651957711,8.708944580134562,311.0,203.20442198069125
2023-12,2023,12,xgboost_poisson_municipal,30,0.472045446977933,4.8935378003379055,8.836660219834586,311.0,187.0004508911045
2023-12,2023,12,glm_poisson,30,0.5798131801484963,6.010729967539411,11.109624007003285,311.0,220.58047509149353
2023-12,2023,12,tweedie_p1.5,30,0.6324016189494214,6.555896783109001,11.994079299636175,311.0,224.1851706520371
